
4	-117.0297, 32.5424	-117.5937, 33.3965
28r	-117.5937, 33.3965	-118.0114, 33.8748
193r	-118.0114, 33.8745	-118.2093, 34.0267
130	-118.2083, 34.0265	-118.4647, 34.2884
324	-118.4735, 34.2971	-118.4889, 34.3142
313r	-118.4889, 34.3142	-118.5195, 34.3404
212r	-118.519, 34.3399	-118.6275, 34.5021
284r	-118.6275, 34.5021	-118.6709, 34.5536
145	-118.6709, 34.5536	-118.8773, 34.8032
0r	-118.8771, 34.8032	-119.7824, 35.79
3r	-119.7828, 35.7899	-118.9582, 35.0193
340r	-118.9582, 35.0193	-118.9515, 35.0052
200	-118.9515, 35.0052	-118.8817, 34.8178
339r	-118.8817, 34.8178	-118.8773, 34.8032
146r	-118.8771, 34.8032	-118.6709, 34.5536
285	-118.6709, 34.5536	-118.6275, 34.5021
213r	-118.6275, 34.5021	-118.5195, 34.3404
337r	-118.5126, 34.3367	-118.5017, 34.3239
328r	-118.489, 34.314	-118.4745, 34.2979
139r	-118.4633, 34.2871	-118.2213, 34.0346
195	-118.2083, 34.0265	-118.0114, 33.8748
29	-118.0114, 33.8745	-117.5937, 33.3963
5	-117.5937, 33.3963	-117.0299, 32.5424
383r	-117.0313, 32.5444	-117.0291, 32.5429
