229	-122.4058, 37.7703	-122.3902, 37.7867
217r	-122.3902, 37.7867	-122.3645, 37.8106
187	-122.3496, 37.8188	-122.3091, 37.8979
160r	-122.3091, 37.8979	-122.2252, 38.061
184r	-122.2252, 38.061	-122.2146, 38.155
231	-122.2146, 38.155	-122.2015, 38.1682
41r	-122.2015, 38.1682	-121.7384, 38.5376
170r	-121.7384, 38.5376	-121.5476, 38.5987
140	-121.5476, 38.5987	-121.2934, 38.7218
16	-121.2934, 38.7218	-120.6173, 39.3154
203	-120.6249, 39.3154	-120.5553, 39.3156
183	-120.5567, 39.3156	-120.4354, 39.3162
93	-120.4371, 39.3162	-120.0105, 39.4451
222	-120.0105, 39.4451	-120.0029, 39.4682
34r	-120.0029, 39.4682	-119.2935, 39.618
150r	-119.286, 39.6182	-119.06, 39.74
57	-119.06, 39.74	-118.6803, 39.9985
8r	-118.6803, 39.9985	-117.9522, 40.8578
18	-117.9528, 40.8578	-117.0186, 40.7063
115	-117.0186, 40.7063	-116.5958, 40.6857
107r	-116.5958, 40.6853	-116.1577, 40.7091
2r	-116.1577, 40.7091	-114.0437, 40.738
4r	-114.0437, 40.738	-112.2248, 40.7234
43r	-112.225, 40.7235	-111.6235, 40.7537
24r	-111.6235, 40.7537	-111.0468, 41.2482
14	-111.0468, 41.2482	-110.0489, 41.4649
0r	-110.0489, 41.4644	-107.5054, 41.764
6	-107.5054, 41.764	-106.0714, 41.5307
20r	-106.0714, 41.5317	-105.2789, 41.1169
10r	-105.2789, 41.1164	-104.0534, 41.1806
39	-104.0534, 41.1809	-103.3761, 41.2204
30r	-103.3761, 41.2202	-102.6106, 41.1137
50r	-102.6106, 41.1137	-102.0556, 41.0533
28	-102.0556, 41.0533	-101.2703, 41.1169
12	-101.2703, 41.1169	-100.2244, 40.9421
22r	-100.2244, 40.9423	-99.4166, 40.693
35	-99.4166, 40.693	-98.7215, 40.7224
96	-98.7215, 40.7221	-98.2826, 40.821
94r	-98.2826, 40.821	-97.8258, 40.821
91r	-97.8258, 40.8213	-97.3684, 40.8216
89r	-97.3684, 40.8214	-96.9107, 40.8204
75	-96.9107, 40.8206	-96.4637, 40.9217
163	-96.4637, 40.9213	-96.2969, 41.0266
146	-96.2969, 41.0266	-96.1009, 41.1906
172	-96.1013, 41.1906	-95.9108, 41.2319
26r	-95.9109, 41.2316	-95.1553, 41.4982
103r	-95.1553, 41.4984	-94.7005, 41.4971
85	-94.7005, 41.4968	-94.2416, 41.4933
219r	-94.2416, 41.4933	-94.2088, 41.5035
109r	-94.2092, 41.5035	-93.7906, 41.5923
100	-93.7906, 41.5923	-93.3485, 41.681
45r	-93.3485, 41.681	-92.7664, 41.6955
71r	-92.7664, 41.6953	-92.2998, 41.6957
73r	-92.2998, 41.6959	-91.8341, 41.6874
69	-91.8342, 41.6872	-91.3663, 41.666
67	-91.3663, 41.666	-90.8995, 41.6329
51r	-90.8995, 41.6331	-90.3646, 41.5796
197r	-90.3647, 41.5795	-90.3412, 41.5114
195r	-90.3409, 41.5115	-90.3297, 41.4405
63r	-90.3301, 41.4405	-89.8569, 41.3937
37r	-89.8569, 41.3937	-89.1646, 41.3648
47r	-89.1646, 41.3646	-88.5938, 41.3764
132r	-88.5938, 41.3764	-88.2522, 41.4629
65	-88.2522, 41.4631	-87.7926, 41.5511
153r	-87.7926, 41.5509	-87.5253, 41.577
262r	-87.5253, 41.5771	-87.5253, 41.577
154r	-87.5253, 41.5771	-87.7926, 41.5511
66r	-87.7926, 41.5509	-88.2522, 41.4629
213r	-88.2522, 41.4631	-88.2986, 41.4616
139r	-88.2986, 41.4616	-88.5938, 41.3766

turned around and headed back
