4	-117.0297, 32.5424	-117.5937, 33.3965
28r	-117.5937, 33.3965	-118.0114, 33.8748
193r	-118.0114, 33.8745	-118.2093, 34.0267
130	-118.2083, 34.0265	-118.4647, 34.2884
324	-118.4735, 34.2971	-118.4889, 34.3142
313r	-118.4889, 34.3142	-118.5195, 34.3404
212r	-118.519, 34.3399	-118.6275, 34.5021
284r	-118.6275, 34.5021	-118.6709, 34.5536
145	-118.6709, 34.5536	-118.8773, 34.8032
0r	-118.8771, 34.8032	-119.7824, 35.79
95	-119.7828, 35.7899	-120.0985, 36.0744
6	-120.0982, 36.0746	-120.7771, 36.8551
58r	-120.7773, 36.8549	-121.089, 37.2459
78	-121.0887, 37.2461	-121.3334, 37.591
12r	-121.3338, 37.5907	-121.4481, 38.255
62	-121.4478, 38.2551	-121.6261, 38.6734
84	-121.6258, 38.6731	-122.0004, 38.9255
48	-122.0001, 38.9255	-122.1929, 39.3852
72	-122.1929, 39.3852	-122.2007, 39.7981
26	-122.201, 39.7981	-122.2848, 40.3763
181r	-122.2848, 40.3763	-122.3635, 40.6123
30	-122.363, 40.6123	-122.2884, 41.1849
8	-122.2886, 41.1849	-122.6157, 42.0054
14	-122.6153, 42.0055	-123.2293, 42.4243
135r	-123.2293, 42.4239	-123.3722, 42.725
352r	-123.3717, 42.7258	-123.3709, 42.7395
1r	-123.3711, 42.7395	-123.138, 43.7538
60	-123.138, 43.7536	-123.0605, 44.2001
36	-123.0605, 44.2001	-123.0525, 44.7378
32	-123.053, 44.7376	-122.7848, 45.2619
279	-122.7848, 45.2614	-122.7691, 45.3319
249	-122.7696, 45.3319	-122.7437, 45.439
206	-122.7437, 45.4384	-122.6751, 45.6181
153	-122.6751, 45.6181	-122.7335, 45.8908
46r	-122.7399, 45.9007	-122.9027, 46.3875
88	-122.9027, 46.3875	-122.9925, 46.7645
90	-122.9925, 46.7645	-122.704, 47.0719
120r	-122.7039, 47.0717	-122.3298, 47.2574
42r	-122.3303, 47.2574	-122.318, 47.7776
44r	-122.3177, 47.7776	-122.3034, 48.2976
114	-122.304, 48.2976	-122.3648, 48.6451
54r	-122.3648, 48.6451	-122.757, 49.0021
