16	-117.1119, 32.7762	-117.1437, 33.4326
10r	-117.1431, 33.4326	-117.55, 34.0335
0	-117.55, 34.0335	-115.3911, 35.6071
2	-115.3915, 35.6073	-114.0501, 36.8179
44	-114.0501, 36.8176	-113.6224, 37.0
26	-113.6243, 37.0	-113.2209, 37.482
8	-113.2206, 37.482	-112.6115, 38.148
40	-112.6141, 38.148	-112.6038, 38.5727
6	-112.6035, 38.5727	-112.082, 39.3297
17	-112.0826, 39.3297	-111.8111, 39.9397
30r	-111.8107, 39.9395	-111.9133, 40.4525
46r	-111.9137, 40.4524	-111.9165, 40.8218
50r	-111.9165, 40.8218	-112.0255, 41.1526
60r	-112.0251, 41.1526	-112.0341, 41.3365
14	-112.0341, 41.3365	-112.1985, 42.0012
48	-112.199, 42.0012	-112.2252, 42.3508
12	-112.2252, 42.3508	-112.4083, 43.0222
34	-112.4079, 43.0222	-112.1398, 43.4249
58r	-112.1398, 43.4249	-112.0799, 43.6262
36	-112.0799, 43.6262	-112.2357, 44.0578
32	-112.2357, 44.0578	-112.3092, 44.5556
4	-112.3092, 44.5556	-112.7035, 45.5302
69	-112.7035, 45.5302	-112.6762, 45.6316
38	-112.6766, 45.6316	-112.4594, 46.0367
19	-112.4592, 46.0365	-111.9664, 46.5692
28r	-111.9668, 46.5692	-111.8963, 47.1331
23r	-111.8963, 47.1329	-111.6456, 47.6978
51	-111.6456, 47.6978	-111.7727, 47.9845
42	-111.7732, 47.9844	-111.9206, 48.393
21	-111.9206, 48.393	-111.9608, 48.9986
