4r	-117.0297, 32.5424	-117.5937, 33.3965
26r	-117.5937, 33.3965	-118.0114, 33.8748
191r	-118.0114, 33.8745	-118.2093, 34.0267
126	-118.2083, 34.0265	-118.4647, 34.2884
324	-118.4735, 34.2971	-118.4889, 34.3142
313r	-118.4889, 34.3142	-118.5195, 34.3404
210r	-118.519, 34.3399	-118.6275, 34.5021
287r	-118.6275, 34.5021	-118.6709, 34.5536
146	-118.6709, 34.5536	-118.8773, 34.8032
0r	-118.8771, 34.8032	-119.7824, 35.79
92	-119.7824, 35.79	-120.0982, 36.0746
6	-120.0982, 36.0746	-120.7771, 36.8551
54	-120.7771, 36.8551	-121.0887, 37.2461
78	-121.0887, 37.2461	-121.3334, 37.591
12r	-121.3338, 37.5907	-121.4481, 38.255
62	-121.4478, 38.2551	-121.6261, 38.6734
87	-121.6258, 38.6731	-122.0004, 38.9255
48	-122.0004, 38.9255	-122.1932, 39.3852
72	-122.1932, 39.3852	-122.201, 39.7981
28	-122.2007, 39.7981	-122.2846, 40.3763
181r	-122.2848, 40.3763	-122.3635, 40.6123
30	-122.3635, 40.6123	-122.2886, 41.1849
8	-122.2884, 41.1849	-122.6153, 42.0055
16	-122.6153, 42.0055	-123.2293, 42.4243
138r	-123.2293, 42.4239	-123.3722, 42.725
353r	-123.3717, 42.7258	-123.3709, 42.7395
1	-123.3709, 42.7395	-123.138, 43.7536
58	-123.138, 43.7536	-123.0605, 44.2001
36	-123.0605, 44.2001	-123.0525, 44.7378
34	-123.053, 44.7376	-122.7848, 45.2619
280	-122.7848, 45.2614	-122.7691, 45.3319
249	-122.7696, 45.3319	-122.7437, 45.439
207	-122.7437, 45.4384	-122.6751, 45.6181
155	-122.6751, 45.6181	-122.7335, 45.8908
46	-122.7396, 45.9008	-122.9026, 46.3875
94	-122.9027, 46.3875	-122.9925, 46.7645
106	-122.9925, 46.7645	-122.704, 47.0719
140	-122.704, 47.0719	-122.3303, 47.2574
42r	-122.3298, 47.2574	-122.3177, 47.7776
44r	-122.3177, 47.7776	-122.3034, 48.2976
118	-122.3034, 48.2976	-122.3643, 48.6451
63	-122.3643, 48.6451	-122.756, 49.0021
